Workout date, 2015-12-24 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  63.97
Maximum heart rate, 81
Notes, Resting heart rate: 36 - 64 - 81

Time (seconds), Rate (beats per minute)
   226.1, 54
   826.1, 42
  1426.1, 61
  2026.2, 61
  2626.1, 57
  3226.2, 54
  3826.6, 41
  4426.2, 51
  5026.1, 61
  5626.2, 57
  6226.2, 41
  6826.1, 46
  7426.2, 51
  8026.2, 51
  8626.2, 61
  9226.2, 67
  9826.2, 61
 10426.2, 51
 11026.3, 39
 11626.2, 41
 12226.2, 36
 12826.2, 59
 13426.3, 57
 14026.2, 42
 14626.3, 61
 15226.3, 61
 15826.2, 49
 16426.3, 57
 17026.3, 61
 17626.3, 54
 19426.3, 54
 20026.4, 65
 20626.5, 46
 21826.4, 46
 22426.3, 41
 23026.3, 52
 23626.4, 61
 24226.3, 39
 24826.3, 49
 25426.4, 61
 26026.4, 67
 26626.3, 57
 27226.4, 54
 27826.4, 61
 28426.3, 57
 30226.5, 57
 34426.4, 69
 50181.8, 81
 54381.8, 57
 58581.8, 69
 59181.8, 77
 62782.0, 65
 63981.9, 57
 66382.7, 67
 69382.0, 74
