Workout date, 2015-12-21 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  73.59
Maximum heart rate, 196
Notes, Resting heart rate: 40 - 74 - 196

Time (seconds), Rate (beats per minute)
   560.4, 61
  1760.3, 61
  2960.3, 49
  3560.3, 42
  4160.6, 41
  4760.3, 46
  5360.4, 41
  5960.9, 44
  7160.4, 49
  7760.4, 81
  8360.4, 54
  9560.4, 46
 10160.4, 51
 10760.4, 61
 11960.4, 49
 12560.8, 46
 13160.6, 57
 13760.4, 46
 14960.5, 51
 15560.5, 61
 16160.4, 51
 16760.4, 41
 17960.4, 41
 18560.5, 42
 19160.4, 46
 19760.4, 49
 20360.5, 42
 20960.4, 42
 21560.4, 57
 22160.6, 57
 22760.5, 61
 23360.5, 65
 23960.9, 42
 24560.5, 61
 34947.2, 88
 36165.7, 63
 36170.7, 65
 36175.7, 65
 36211.5, 78
 36216.5, 81
 36241.5, 64
 36246.5, 63
 36251.5, 64
 36256.5, 64
 36261.5, 65
 36266.5, 65
 36271.5, 65
 36276.5, 65
 36281.5, 65
 36286.5, 65
 36291.5, 65
 36296.5, 65
 36301.5, 67
 36306.5, 65
 36311.5, 65
 36316.5, 65
 36321.5, 65
 36326.5, 65
 36331.5, 65
 36336.5, 65
 36341.5, 65
 36346.5, 65
 36351.5, 65
 36356.5, 65
 36361.5, 65
 36366.5, 65
 36371.5, 65
 36376.5, 65
 36381.5, 65
 36386.5, 65
 36391.5, 64
 36396.5, 65
 36401.5, 64
 36406.5, 73
 36411.5, 69
 36416.5, 68
 36421.5, 65
 36426.5, 69
 36431.5, 71
 36436.5, 69
 36441.5, 69
 36446.5, 69
 36451.5, 68
 36456.5, 68
 36461.5, 65
 36476.5, 69
 36481.5, 69
 36486.5, 69
 36491.5, 68
 36496.5, 68
 36501.5, 68
 36506.5, 68
 36511.5, 68
 36516.5, 68
 36521.5, 68
 36526.5, 68
 36531.5, 68
 36536.5, 68
 36541.5, 68
 36546.5, 68
 36551.5, 65
 36561.5, 67
 36566.5, 67
 36571.5, 67
 36576.5, 67
 36581.5, 67
 36586.5, 67
 36591.5, 68
 36596.5, 67
 36606.5, 67
 36611.5, 65
 36616.5, 67
 36621.5, 67
 36626.5, 67
 36631.5, 64
 36656.5, 67
 36661.5, 68
 36666.5, 68
 36671.5, 69
 36676.5, 69
 36681.5, 69
 36686.5, 71
 36691.5, 69
 36696.5, 69
 36701.5, 69
 36706.5, 69
 36711.5, 69
 36716.5, 69
 36721.5, 69
 36726.5, 69
 36731.5, 69
 36736.6, 69
 36741.5, 69
 36746.5, 69
 36751.5, 69
 36756.5, 69
 36761.5, 69
 36766.5, 69
 36771.5, 69
 36776.5, 69
 36781.5, 69
 36786.5, 69
 36791.5, 69
 36796.5, 69
 36801.5, 69
 36806.5, 69
 36811.5, 69
 36816.5, 69
 36821.5, 69
 36826.5, 69
 36831.5, 67
 36836.6, 65
 36841.5, 65
 36846.5, 65
 36851.5, 65
 36856.5, 65
 36861.5, 65
 36866.5, 65
 36871.5, 67
 36876.5, 65
 36881.5, 65
 36886.5, 65
 36891.5, 65
 36896.5, 65
 36901.5, 65
 36906.5, 67
 36911.5, 67
 36916.5, 67
 36921.5, 67
 36926.5, 68
 36931.5, 69
 36936.5, 68
 36941.5, 68
 36946.5, 68
 36951.5, 69
 36956.5, 69
 36961.5, 68
 36966.5, 68
 36971.5, 68
 36976.5, 69
 36981.5, 71
 36986.5, 69
 36991.5, 71
 36996.5, 69
 37001.5, 69
 37006.5, 69
 37011.5, 69
 37016.5, 69
 37021.5, 64
 37026.5, 61
 37031.5, 64
 37036.5, 63
 37041.5, 61
 37046.5, 63
 37051.5, 63
 37056.5, 63
 37061.5, 63
 37066.5, 63
 37071.5, 63
 37076.5, 63
 37081.5, 63
 37086.5, 63
 37091.5, 63
 37096.5, 63
 37101.5, 64
 37106.5, 68
 37111.5, 68
 37116.5, 68
 37121.5, 68
 37126.5, 68
 37131.5, 68
 37136.5, 68
 37141.5, 68
 37146.5, 68
 37151.5, 68
 37156.5, 68
 37161.5, 68
 37166.5, 68
 37171.5, 67
 37176.5, 65
 37181.5, 64
 37186.5, 64
 37191.5, 64
 37196.5, 65
 37201.5, 67
 37206.5, 65
 37211.5, 67
 37216.5, 65
 37221.5, 65
 37226.5, 67
 37231.5, 67
 37236.5, 65
 37241.5, 65
 37246.5, 64
 37251.5, 65
 37256.5, 64
 37261.5, 63
 37266.5, 64
 37271.5, 64
 37276.5, 64
 37281.5, 65
 37286.5, 68
 37291.5, 68
 37296.5, 68
 37301.5, 68
 37306.5, 68
 37311.5, 68
 37316.5, 68
 37321.5, 68
 37326.5, 68
 37331.5, 68
 37336.5, 69
 37341.5, 73
 37346.5, 73
 37351.5, 73
 37356.5, 67
 37361.5, 68
 37366.5, 68
 37371.5, 68
 37376.5, 68
 37381.5, 64
 37386.5, 63
 37391.5, 64
 37396.5, 64
 37401.5, 67
 37406.5, 68
 37411.5, 69
 37416.5, 68
 37421.5, 68
 37426.5, 68
 37431.5, 68
 37436.5, 68
 37441.5, 68
 37446.5, 68
 37451.5, 68
 37456.5, 69
 37461.5, 69
 37466.5, 68
 37471.5, 68
 37476.5, 67
 37481.5, 67
 37486.5, 67
 37491.5, 67
 37496.5, 67
 37501.5, 67
 37506.5, 65
 37511.5, 65
 37516.5, 67
 37521.5, 67
 37526.5, 67
 37531.5, 65
 37536.5, 65
 37541.5, 64
 37546.5, 65
 37551.5, 68
 37556.5, 68
 37561.5, 67
 37566.5, 67
 37571.5, 68
 37576.5, 67
 37581.5, 67
 37586.5, 67
 37591.5, 67
 37596.5, 67
 37601.5, 67
 37606.5, 65
 37611.5, 67
 37616.5, 67
 37621.5, 68
 37626.5, 74
 37631.5, 73
 37636.5, 71
 37641.5, 64
 37646.5, 61
 37651.5, 61
 37656.5, 61
 37661.5, 61
 37666.5, 61
 37671.5, 63
 37676.5, 61
 37681.5, 61
 37686.5, 63
 37691.5, 63
 37696.5, 63
 37701.5, 63
 37706.5, 63
 37711.5, 63
 37716.5, 64
 37721.5, 64
 37726.5, 65
 37731.5, 65
 37736.5, 65
 37741.5, 65
 37746.5, 65
 37751.5, 68
 37756.5, 69
 37761.5, 67
 37766.5, 65
 37771.5, 65
 37776.5, 65
 37781.5, 65
 37786.5, 68
 37791.5, 71
 37796.5, 69
 37801.5, 69
 37806.5, 68
 37811.5, 69
 37816.5, 69
 37821.5, 69
 37826.5, 69
 37831.5, 69
 37836.5, 69
 37841.5, 68
 37846.5, 65
 37851.5, 67
 37856.5, 67
 37861.5, 65
 37866.5, 67
 37871.5, 67
 37876.5, 68
 37881.5, 68
 37886.5, 72
 37891.5, 73
 37896.5, 69
 37901.5, 69
 37906.5, 69
 37911.5, 69
 37916.5, 69
 37921.5, 69
 37926.5, 69
 37931.5, 69
 37936.5, 69
 37941.5, 69
 37946.5, 69
 37951.5, 63
 37956.5, 64
 37961.5, 65
 37966.5, 67
 37971.5, 65
 37976.5, 65
 37981.5, 63
 37986.5, 60
 37991.5, 59
 37996.5, 59
 38001.5, 60
 38006.5, 61
 38011.5, 61
 38016.5, 63
 38021.5, 64
 38026.5, 65
 38031.5, 65
 38036.5, 65
 38041.5, 65
 38046.5, 65
 38051.5, 65
 38056.5, 65
 38061.5, 65
 38066.5, 67
 38071.5, 65
 38076.5, 65
 38081.5, 67
 38086.5, 65
 38091.5, 65
 38096.5, 65
 38101.5, 65
 38106.5, 65
 38111.5, 65
 38116.5, 65
 38121.5, 65
 38126.5, 65
 38131.5, 65
 38136.5, 65
 38141.5, 65
 38146.5, 67
 38151.5, 68
 38156.5, 65
 38161.5, 64
 38166.5, 64
 38171.5, 64
 38176.5, 64
 38181.5, 64
 38186.5, 64
 38191.5, 64
 38196.5, 61
 38201.5, 61
 38206.5, 63
 38211.5, 61
 38216.5, 57
 38221.5, 61
 38226.5, 61
 38231.5, 67
 38236.5, 67
 38241.5, 67
 38246.5, 67
 38251.5, 67
 38256.5, 67
 38261.5, 72
 38266.5, 73
 38271.5, 72
 38281.5, 69
 38286.5, 68
 38291.5, 65
 38296.5, 64
 38301.5, 64
 38306.5, 60
 38311.5, 61
 38316.5, 61
 38321.5, 61
 38326.5, 61
 38331.5, 64
 38336.5, 64
 38341.5, 64
 38346.5, 65
 38351.5, 69
 38356.5, 67
 38361.5, 65
 38366.5, 65
 38371.5, 67
 38376.5, 67
