Workout date, 2015-12-29 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  59.79
Maximum heart rate, 88
Notes, Resting heart rate: 36 - 60 - 88

Time (seconds), Rate (beats per minute)
   559.1, 61
  1159.2, 44
  1759.0, 61
  2359.0, 61
  3559.0, 39
  4159.1, 42
  4759.1, 41
  5359.0, 57
  5959.3, 44
  6559.0, 42
  7159.0, 42
  7759.1, 49
  8359.0, 42
  9559.1, 49
 10159.0, 61
 10759.1, 61
 11359.1, 88
 11959.0, 57
 12559.2, 57
 13159.1, 59
 13759.1, 69
 14359.1, 69
 14959.1, 61
 15559.2, 36
 16159.5, 81
 16759.2, 72
 17359.1, 57
 17959.1, 39
 18559.1, 39
 19159.2, 44
 19759.1, 37
 20359.3, 61
 20959.2, 74
 21559.1, 61
 22159.1, 61
 22759.7, 39
 23359.3, 41
 24559.2, 44
 25159.1, 61
 25759.2, 61
 26359.2, 65
 32072.2, 67
 32672.2, 69
 33272.2, 69
 34472.3, 84
 36872.3, 57
 37472.3, 67
 39272.3, 81
 39872.3, 65
 40472.3, 69
 41072.3, 69
 41672.4, 65
 42272.3, 72
 42872.3, 59
 43472.4, 49
 44072.3, 49
 44672.4, 46
 45272.3, 46
 45872.3, 49
 46472.3, 49
 47072.4, 46
 47672.3, 51
 48272.8, 54
 49472.3, 81
 50672.3, 61
 54872.4, 65
 55472.5, 69
 56672.5, 54
 57272.5, 57
 60872.4, 57
 77073.6, 61
 78872.6, 61
 80072.7, 61
 80672.6, 65
 81272.6, 61
 82472.7, 74
