Workout date, 2015-12-22 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  68.48
Maximum heart rate, 113
Notes, Resting heart rate: 41 - 68 - 113

Time (seconds), Rate (beats per minute)
  1718.8, 61
  3518.7, 69
  4718.8, 61
  5318.8, 61
  5918.8, 61
  6518.7, 57
  7118.8, 54
  7718.8, 54
  8318.8, 57
  8918.8, 51
  9519.0, 61
 10118.8, 74
 10718.9, 92
 11319.0, 61
 11918.8, 61
 13119.2, 54
 13718.8, 61
 14318.8, 61
 14918.9, 41
 15518.8, 61
 16119.0, 57
 17318.8, 42
 17918.9, 57
 18518.9, 54
 19119.0, 69
 19718.9, 55
 20318.9, 61
 20918.9, 51
 21519.0, 55
 22119.0, 59
 22718.9, 41
 23319.0, 61
 23918.9, 44
 24518.9, 42
 25718.9, 57
 26319.0, 54
 26919.0, 57
 33585.7, 59
 34785.6, 61
 38385.6, 67
 40185.7, 74
 42585.6, 69
 43185.8, 61
 44385.7, 61
 44985.8, 113
 46185.7, 61
 53985.9, 69
 58185.8, 81
 58785.9, 69
 59385.8, 61
 62473.4, 61
 73873.5, 92
 75673.5, 61
 78673.8, 107
 79873.6, 51
 80474.1, 67
 81073.6, 74
 81673.7, 54
 82274.0, 57
 82873.6, 44
 83473.6, 57
 84073.8, 61
 84673.8, 69
 85273.6, 97
 85874.0, 55
