Workout date, 2015-12-23 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  70.84
Maximum heart rate, 126
Notes, Resting heart rate: 39 - 71 - 126

Time (seconds), Rate (beats per minute)
    73.7, 74
   673.7, 51
  1273.6, 44
  1873.8, 61
  2473.8, 44
  3073.7, 61
  3673.7, 67
  4273.7, 39
  4873.7, 51
  5473.9, 51
  6073.8, 74
  7273.7, 61
  7873.7, 61
  8473.8, 61
  9073.8, 54
  9673.9, 61
 10273.8, 44
 10873.7, 57
 11473.9, 54
 12673.8, 41
 13273.9, 57
 13873.9, 57
 14473.8, 61
 15073.8, 81
 15673.8, 61
 16273.9, 55
 16873.8, 39
 17474.1, 41
 18073.8, 57
 18673.8, 92
 19873.9, 54
 21674.0, 44
 22273.9, 65
 24073.8, 72
 38315.3, 126
 55426.2, 61
 59026.1, 81
 60225.9, 67
 60826.1, 67
 63226.0, 69
 66226.0, 57
 66826.1, 74
 67426.2, 54
 68026.3, 61
 68626.0, 61
 70426.0, 69
 73426.0, 61
 75226.1, 67
 75826.1, 59
 76426.0, 65
 77626.1, 57
 78226.1, 65
 78826.1, 51
 79426.2, 44
 80026.1, 57
 80626.0, 41
 81226.2, 54
 81826.1, 44
 82426.1, 54
 83026.1, 49
 83626.1, 54
 84226.2, 44
 84826.1, 49
 85426.1, 51
 86026.1, 51
